name	domain	country
Université Abdou Moumouni de Niamey 	http://uam.refer.ne/	NE
École Africaine des Métiers de la Architecture et de l'Urbanisme 	http://www.eamau.org/	TG
(3) Université Cadi Ayyad Faculté des Sciences et Techniques Marrakech 	http://www.fstg-marrakech.ac.ma/	MA
Université de Yaounde 2 	http://www.universite-yde2.org/	CM
Rivers State University of Science & Technology 	http://www.ust.edu.ng/	NG
(3) Université Sidi Mohammed Ben Abdellah Faculté des Sciences Dhar El Mahraz 	http://www.fsdmfes.ac.ma/	MA
Institut de Formation en Technologie Alimentaire 	http://www.isfort.ac.ma/	MA
Bayero University Kano         	http://www.buk.edu.ng/	NG
Midlands State University 	http://www.msu.ac.zw/	ZW
(3) Université Ibnou Zohr École Nationale des Sciences Appliquées Agadir 	http://www.ensa-agadir.ac.ma/	MA
Africa Nazarene University 	http://www.anu.ac.ke/	KE
Université de Tébessa 	http://www.univ-tebessa.dz/	DZ
University for Development Studies 	http://www.uds.edu.gh/	GH
(3) Université Hassan II Mohammedia École Normale Supérieure de l'Enseignement Technique Mohammedia 	http://www.enset-media.ac.ma/	MA
Wisconsin International University College Ghana 	http://www.wiuc-ghana.edu.gh/	GH
(3) Université Ibnou Zohr École Supérieure de Technologie d'Agadir 	http://www.esta.ac.ma/	MA
National Ribat University 	http://www.ribat.edu.sd/	SD
(3) Université Ibnou Zohr École Nationale de Commerce et de Gestion Agadir 	http://www.encg-agadir.ac.ma/	MA
Tangaza College 	http://tangaza.org/	KE
Institut National Polytechnique Félix Houphouët Boigny 	http://www.inphb.edu.ci/	CI
Universidade Jean Piaget de Cabo Verde 	http://www.unipiaget.cv/	CV
Higher Technological Institute 	http://www.hti.edu.eg/	EG
(3) Université Sidi Mohammed Ben Abdellah Faculté des Sciences et Techniques Fes 	http://www.fst-usmba.ac.ma/	MA
Regent University College of Science & Technology 	http://www.regentghana.net/	GH
(3) Université Sidi Mohammed Ben Abdellah École Supérieure de Technologie de Fes 	http://www.est-usmba.ac.ma/	MA
École Nationale des Travaux Publics 	http://www.entp.edu.dz/	DZ
Cuttington University College 	http://www.cuttington.org/	LR
KCA University 	http://www.kca.ac.ke/	KE
Ambrose Alli University Ekpoma 	http://www.aauekpoma.edu.ng/	NG
(3) Université Abdelmalek Essaadi Faculté des Sciences Tetouan 	http://www.fst.ac.ma/	MA
Omdurman Islamic University 	http://www.oiu.edu.sd/	SD
Ghana Institute of Management and Public Administration 	http://www.gimpa.edu.gh/	GH
(3) Université Hassan I Settat École Nationale de Commerce et de Gestion Settat 	http://www.encg-settat.ma/	MA
Valley View University 	http://www.vvu.edu.gh/	GH
Omar Al Mukhtar University 	http://www.omu.edu.ly/	LY
Masinde Muliro University of Science and Technology 	http://www.mmust.ac.ke/	KE
(1) Institut National de Statistique et d'Economie Appliquée 	http://www.insea.ac.ma/	MA
Institut Bourguiba des Langues Vivantes 	http://www.iblv.rnu.tn/	TN
Université de Gafsa 	http://www.ugaf.rnu.tn/	TN
Institute of Finance Management 	http://www.ifm.ac.tz/	TZ
École Supérieure des Sciences et Techniques de Tunis 	http://www.esstt.rnu.tn/	TN
